symbol,date,open,high,low,close,volume
20MICRONS,2026-03-17,152.5,154.27,150.21,153.17,90786
20MICRONS,2026-03-18,153.21,159.74,153.21,156.03,92289
20MICRONS,2026-03-19,154.95,154.96,149.0,149.89,100166
20MICRONS,2026-03-20,152.0,153.99,148.65,151.02,110174
20MICRONS,2026-03-23,148.9,150.47,140.65,143.04,166178
20MICRONS,2026-03-24,145.3,150.59,144.45,147.19,150487
20MICRONS,2026-03-25,148.81,154.59,148.15,151.67,85533
20MICRONS,2026-03-27,150.01,150.92,137.61,140.72,257213
20MICRONS,2026-03-30,139.81,140.84,129.61,133.14,234233
20MICRONS,2026-04-01,135.1,148.65,135.1,147.48,138243
20MICRONS,2026-04-02,141.62,151.59,141.13,149.9,105655
20MICRONS,2026-04-06,152.15,155.0,146.35,154.13,95795
20MICRONS,2026-04-07,154.13,158.0,150.54,154.62,74249
20MICRONS,2026-04-08,158.65,163.65,158.0,161.48,92229
20MICRONS,2026-04-09,163.5,165.0,158.15,159.38,108034
20MICRONS,2026-04-10,159.05,163.87,159.05,162.37,97771
20MICRONS,2026-04-13,162.15,166.0,156.1,160.39,110921
20MICRONS,2026-04-15,164.0,170.0,161.7,168.64,126635
20MICRONS,2026-04-16,170.01,184.95,168.1,181.89,862011
20MICRONS,2026-04-17,182.9,186.8,179.5,184.09,227793
20MICRONS,2026-04-20,184.43,187.0,175.2,177.22,176570
20MICRONS,2026-04-21,177.16,181.7,176.55,177.43,67100
20MICRONS,2026-04-22,178.14,179.58,177.1,178.38,65747
20MICRONS,2026-04-23,178.9,185.5,176.81,180.77,146714
20MICRONS,2026-04-24,180.62,181.01,174.3,175.6,73356
20MICRONS,2026-04-27,180.0,180.0,177.0,178.45,47586
20MICRONS,2026-04-28,178.63,180.2,177.26,178.37,35899
20MICRONS,2026-04-29,179.0,184.4,177.15,179.35,93026
20MICRONS,2026-04-30,179.55,179.82,175.41,176.89,53904
20MICRONS,2026-05-04,177.11,180.7,176.63,179.21,56050
20MICRONS,2026-05-05,176.7,181.5,176.7,180.25,40674
20MICRONS,2026-05-06,182.4,184.13,178.0,182.32,109136
20MICRONS,2026-05-07,183.8,186.7,182.32,184.2,89735
20MICRONS,2026-05-08,185.0,187.04,180.65,181.81,87277
20MICRONS,2026-05-11,182.0,184.68,176.99,179.97,119150
20MICRONS,2026-05-12,181.7,181.98,175.41,177.95,28295
21STCENMGM,2025-03-18,65.0,65.0,63.91,63.91,6234
21STCENMGM,2025-03-19,62.63,63.9,62.63,62.63,9760
21STCENMGM,2025-03-20,61.5,63.85,61.5,62.44,5768
21STCENMGM,2025-03-21,62.44,63.68,62.35,63.5,16853
21STCENMGM,2025-03-24,64.77,64.77,64.77,64.77,1574
21STCENMGM,2025-03-25,66.06,66.06,66.06,66.06,4786
21STCENMGM,2025-03-26,67.25,67.38,67.25,67.37,7187
21STCENMGM,2025-03-27,68.71,68.71,68.0,68.04,4456
21STCENMGM,2025-03-28,68.68,69.35,66.67,66.67,4516
21STCENMGM,2025-04-01,67.95,67.95,65.34,67.9,5539
21STCENMGM,2025-04-02,69.2,69.2,66.55,69.0,4518
21STCENMGM,2025-04-03,69.34,70.38,68.1,70.38,8367
21STCENMGM,2025-04-04,70.0,71.78,68.97,71.78,9691
21STCENMGM,2025-04-07,70.34,70.34,70.34,70.34,1692
21STCENMGM,2025-04-08,68.93,71.69,68.93,70.23,4691
21STCENMGM,2025-04-09,69.0,71.63,69.0,71.4,1802
21STCENMGM,2025-04-11,72.75,72.75,70.93,71.63,3021
21STCENMGM,2025-04-15,73.06,73.06,71.05,73.06,2573
21STCENMGM,2025-04-16,74.45,74.52,73.06,74.52,8184
21STCENMGM,2025-04-17,76.0,76.01,76.0,76.01,4252
21STCENMGM,2025-04-21,77.53,77.53,76.5,77.53,4014
21STCENMGM,2025-04-22,79.05,79.08,76.51,78.89,4901
21STCENMGM,2025-04-23,80.3,80.3,77.55,79.14,5501
21STCENMGM,2025-04-24,80.0,80.7,78.1,78.64,2934
21STCENMGM,2025-04-25,78.7,80.0,77.06,77.21,4412
21STCENMGM,2025-04-28,78.3,78.3,75.69,76.2,4834
21STCENMGM,2025-04-29,77.45,77.45,74.67,74.92,4001
21STCENMGM,2025-04-30,73.9,76.3,73.42,73.42,3006
21STCENMGM,2025-05-02,71.95,73.42,71.95,72.1,1164
21STCENMGM,2025-05-05,70.65,73.45,70.65,70.65,4743
21STCENMGM,2025-05-06,69.6,70.2,69.23,69.23,1819
21STCENMGM,2025-05-07,67.84,67.84,67.84,67.84,2158
21STCENMGM,2025-05-08,66.5,68.42,66.48,66.78,7667
21STCENMGM,2025-05-09,66.78,68.0,65.44,65.44,2621
21STCENMGM,2025-05-12,66.6,66.74,65.55,66.74,8116
21STCENMGM,2025-05-13,66.74,68.07,65.44,68.07,5214
21STCENMGM,2025-05-14,68.07,69.43,67.5,69.21,12519
21STCENMGM,2025-05-15,70.4,70.59,69.21,70.59,10169
21STCENMGM,2025-05-16,71.95,72.0,71.22,71.99,8566
21STCENMGM,2025-05-19,73.4,73.42,72.0,73.39,3782
21STCENMGM,2025-05-20,73.5,74.84,71.92,71.92,5772
21STCENMGM,2025-05-21,73.25,73.3,71.41,72.31,1243
21STCENMGM,2025-05-22,72.32,73.25,70.86,70.93,3108
21STCENMGM,2025-05-23,70.93,71.45,69.51,69.87,2266
21STCENMGM,2025-05-26,71.26,71.26,70.0,70.77,3878
21STCENMGM,2025-05-27,70.78,72.18,70.0,71.73,7798
21STCENMGM,2025-05-28,71.55,73.16,71.55,72.21,3759
21STCENMGM,2025-05-29,72.35,73.5,71.15,72.47,3973
21STCENMGM,2025-05-30,71.03,72.1,71.02,71.02,3180
21STCENMGM,2025-06-02,69.6,69.6,69.59,69.59,5640
21STCENMGM,2025-06-03,68.19,69.5,68.19,68.19,12538
21STCENMGM,2025-06-04,66.82,68.45,66.82,66.89,6925
21STCENMGM,2025-06-05,67.01,68.2,65.55,66.06,5481
21STCENMGM,2025-06-06,65.73,67.38,65.1,67.23,11278
21STCENMGM,2025-06-09,65.93,68.57,65.93,67.21,10355
21STCENMGM,2025-06-10,68.45,68.45,66.51,66.93,16697
21STCENMGM,2025-06-11,67.0,67.58,65.6,65.98,5564
21STCENMGM,2025-06-12,67.2,67.2,65.41,66.21,9873
21STCENMGM,2025-06-13,64.9,66.12,64.88,64.96,3815
21STCENMGM,2025-06-16,65.8,65.8,63.66,64.3,4685
21STCENMGM,2025-06-17,63.66,65.5,63.31,64.25,4040
21STCENMGM,2025-06-18,65.44,65.53,63.61,65.53,2499
21STCENMGM,2025-06-19,66.8,66.84,64.89,66.08,5847
21STCENMGM,2025-06-20,66.74,67.4,65.0,66.37,3861
21STCENMGM,2025-06-23,67.0,67.0,65.04,65.04,3626
21STCENMGM,2025-06-24,63.73,63.73,63.73,63.73,5003
21STCENMGM,2025-06-25,62.45,62.5,62.45,62.45,11176
21STCENMGM,2025-06-26,62.27,62.27,61.2,61.2,8076
21STCENMGM,2025-06-27,59.97,59.97,59.97,59.97,3600
21STCENMGM,2025-06-30,58.77,58.77,58.77,58.77,6347
21STCENMGM,2025-07-01,57.59,57.59,57.59,57.59,7028
21STCENMGM,2025-07-02,56.43,58.74,56.43,58.74,17607
